==========================================================================================
TOP FEATURES BY IMPORTANCE
==========================================================================================

Rank  Feature                                      Importance     % Total     Cumulative %
------------------------------------------------------------------------------------------
1     price_to_low                                 0.011983       35.21       35.21       
2     lower_low                                    0.005733       16.85       52.06       
3     hl_ratio                                     0.003233       9.50        61.56       
4     cci_14                                       0.002067       6.07        67.63       
5     lower_shadow_relative                        0.001550       4.55        72.18       
6     bb_width_ratio_50                            0.000883       2.60        74.78       
7     inside_bar                                   0.000800       2.35        77.13       
8     price_to_high                                0.000733       2.15        79.29       
9     higher_low                                   0.000700       2.06        81.34       
10    outside_bar                                  0.000617       1.81        83.15       
11    fib_0_100                                    0.000583       1.71        84.87       
12    williams_r_14                                0.000400       1.18        86.04       
13    range_expansion                              0.000367       1.08        87.12       
14    bb_width                                     0.000367       1.08        88.20       
15    volatility_30                                0.000317       0.93        89.13       
16    lower_high                                   0.000267       0.78        89.91       
17    atr_pct                                      0.000267       0.78        90.70       
18    rsi_21                                       0.000233       0.69        91.38       
19    fib_236_100                                  0.000217       0.64        92.02       
20    volatility_10                                0.000217       0.64        92.65       
21    rsi_7                                        0.000200       0.59        93.24       
22    minus_di                                     0.000167       0.49        93.73       
23    di_diff_14                                   0.000117       0.34        94.07       
24    volatility_20                                0.000117       0.34        94.42       
25    cci_20                                       0.000100       0.29        94.71       
26    tech_rating                                  0.000083       0.24        94.96       
27    keltner_width                                0.000083       0.24        95.20       
28    cci                                          0.000083       0.24        95.45       
29    high_low_pct                                 0.000083       0.24        95.69       
30    dist_to_resistance                           0.000083       0.24        95.94       
31    rsi_14                                       0.000083       0.24        96.18       
32    fib_0_50                                     0.000050       0.15        96.33       
33    vwap_signal                                  0.000050       0.15        96.47       
34    atr_percent_20                               0.000050       0.15        96.62       
35    williams_r_28                                0.000050       0.15        96.77       
36    stoch_d                                      0.000033       0.10        96.87       
37    stoch_d_21                                   0.000033       0.10        96.96       
38    price_vs_donchian                            0.000017       0.05        97.01       
39    median_price                                 0.000000       0.00        97.01       
40    body_pct                                     0.000000       0.00        97.01       
41    high_low_range                               0.000000       0.00        97.01       
42    support_50                                   0.000000       0.00        97.01       
43    bb_width_ratio_20                            0.000000       0.00        97.01       
44    bb_pct                                       0.000000       0.00        97.01       
45    minus_di_14                                  0.000000       0.00        97.01       
46    williams_r                                   0.000000       0.00        97.01       
47    stoch_k                                      0.000000       0.00        97.01       
48    rsi_7_oversold                               0.000000       0.00        97.01       
49    stoch_d_14                                   0.000000       0.00        97.01       
50    zscore_20                                    0.000000       0.00        97.01       
51    bb_position_20                               0.000000       0.00        97.01       
52    price_zscore                                 0.000000       0.00        97.01       
53    di_diff_20                                   0.000000       0.00        97.01       
54    rsi_uptrend                                  0.000000       0.00        97.01       
55    stoch_k_21                                   0.000000       0.00        97.01       
56    body_position                                0.000000       0.00        97.01       
57    rsi_oversold                                 0.000000       0.00        97.01       
58    momentum_score                               0.000000       0.00        97.01       
59    dc_position_20                               0.000000       0.00        97.01       
60    sr_position_20                               0.000000       0.00        97.01       
61    rsi_7_overbought                             0.000000       0.00        97.01       
62    near_resistance                              0.000000       0.00        97.01       
63    rsi_14_oversold                              0.000000       0.00        97.01       
64    stoch_oversold                               0.000000       0.00        97.01       
65    sar_signal                                   0.000000       0.00        97.01       
66    price_above_sma20                            0.000000       0.00        97.01       
67    candles_above_ma                             0.000000       0.00        97.01       
68    price_above_ema20                            0.000000       0.00        97.01       
69    bb_position_50                               0.000000       0.00        97.01       
70    rsi_downtrend                                0.000000       0.00        97.01       
71    sell_signal_strength                         0.000000       0.00        97.01       
72    volume_percentile                            0.000000       0.00        97.01       
73    rsi_21_oversold                              0.000000       0.00        97.01       
74    stoch_k_14                                   -0.000017      -0.05       96.96       
75    kc_position_20                               -0.000050      -0.15       96.82       
76    trend_direction_10                           -0.000050      -0.15       96.67       
77    bb_lower_50                                  -0.000050      -0.15       96.52       
78    atr_percent_14                               -0.000083      -0.24       96.28       
79    typical_price                                -0.000083      -0.24       96.03       
80    log_price                                    -0.000100      -0.29       95.74       
81    dc_lower_50                                  -0.000100      -0.29       95.45       
82    minus_di_20                                  -0.000117      -0.34       95.10       
83    price_volume_divergence                      -0.000133      -0.39       94.71       
84    zscore_50                                    -0.000233      -0.69       94.03       

==========================================================================================
Top 10 features account for: 83.15%
Top 20 features account for: 92.65%
Top 50 features account for: 97.01%
